norm.name	RBN011364-002.horizon.GI50_nm	RBN011595-001.horizon.GI50_nm	RBN011628-001.horizon.GI50_nm	RBN011364-002.horizon.IC50_nm	RBN011595-001.horizon.IC50_nm	RBN011628-001.horizon.IC50_nm	RBN011364-002.horizon.Delta.1um	RBN011595-001.horizon.Delta.1um	RBN011628-001.horizon.Delta.1um	RBN011364-002.horizon.EMax.1um.fixed	RBN011595-001.horizon.EMax.1um.fixed	RBN011628-001.horizon.EMax.1um.fixed	Response.group
HEC1B	14.7082843650784	44.7679654995577	1.64136081392528	1.50436442886088	14.0822647942594	0.598482196959372	51.2921991371832	46.9820122414477	54.2709590641185	40.2643799553323	39.237592809158	30.7380008371533	Responder
HS578T	199.823249458522	10000	10000	21.8301580284697	4.7207316287057	0.210068248418076	37.618153832851	32.8558935777561	34.8232288735417	45.2556675668017	55.3638246753082	56.7665754985888	Responder
HSC4	10000	10000	826.339459976164	10000	10000	859.340225160767	11.3003996957618	4.99881507503703	43.3600257601816	76.1774049035276	80.3988876333608	42.4558928458013	Nonresponder
HT29	10000	5886.6975940586	10000	31.3011667727826	10000	0.502175822488697	22.4448266935321	14.840141657201	21.4626036377413	82.1255170837221	82.2440871108491	80.628085826539	Responder
IALM	101.933660159377	187.067060388633	95.8146564019669	287.102477256372	98.7980516742991	7224.98101050355	78.4667457236896	60.4258109103795	73.3614597554645	17.0248261507941	33.7362160500315	22.5147194250766	Responder
IM95	3904.89023005347	4334.38354346684	1424.14447552227	3533.83195870825	3542.16170516303	1455.39088613648	3.25024820710951e-05	0.000460214147025795	13.8450358791826	98.8073962592844	104.298804322316	85.5930234880608	Nonresponder
JHOS2	2.54551089024285	11.0115415676422	0.299681916166325	2.76697851867142	4.51735149413116	0.156161028426444	85.0274923365678	46.0056744001992	74.7688084411579	8.19719576532499	40.3993656847007	24.0037735922211	Responder
JHOS4	1626.59291719002	2115.97719278139	381.18708521104	644.503521765257	10000	1061.37377191297	42.044580078707	28.6375759561763	64.160807033783	56.8302502013111	64.716375108845	24.140323074704	Nonresponder
JIMT1	10000	7448.32311118105	10000	187.499566466114	10000	10000	21.4766978375514	26.7616020962824	24.3770106997642	66.8701697206889	66.2511042332837	64.7182624188905	Responder
KE39	10000	907.606339765293	162.744044509443	6.20500954467775	72.046992056218	10000	42.066307222949	39.8975535198141	65.5199921606071	51.6395378443575	49.683999889187	28.150048648781	Nonresponder
KNS62	10000	10000	1003.0098449529	291.724493492476	1318.99405912276	1268.52711523023	20.1397006579274	14.2195168152108	42.8437046739104	71.8552288697825	85.1992153416356	50.1385401220787	Nonresponder
KNS81	10000	10000	10000	11.21697874523	28.0237510242167	3.0715291819459	28.9822089166237	30.2992719806762	36.3017885441496	70.5361088080358	72.0299794595062	60.1517985922768	Responder
KPL1	2212.95176752699	3671.01938667121	456.593468257029	1564.86786793118	4013.9764686744	802.576539818623	13.1621124487089	0.021125074572879	54.9363259917904	62.5655804668825	76.1225624012215	21.9944456471763	Nonresponder
KURAMOCHI	1238.1028154321	2450.35144953724	627.577445629373	10000	10000	2154.61404959882	23.4049876330312	17.0889058216279	39.146472840898	53.1701008875497	62.0912593844821	40.5005607965298	Nonresponder
KYSE270	10000	10000	339.141049183501	0.00867027745156489	2.14780136436553	2685.65151951162	12.1365924554099	13.4632032222006	50.5141543404616	79.5824815976175	75.8756660657263	32.7508843324091	Nonresponder
KYSE30	10000	10000	10000	1.48616171099383	25.6848879756531	0.342876639388189	39.2759565761699	39.8073005150761	40.5483467430623	62.3031905566049	55.6715242631793	57.5359749578678	Responder
KYSE410	7522.32832798077	10000	1714.09486815226	10000	10000	1363.9383491825	7.93957458148415	4.61581773143878	43.578900900428	100.105030062974	102.39691962335	65.4036477196116	Nonresponder
KYSE450	10000	10000	1992.74126274807	10000	2805.13695125423	1832.81889179349	8.71168764700398	11.4922994400874	19.576268611204	88.2673162252033	86.5401830891749	74.3885426016059	Nonresponder
KYSE520	10000	3989.90834412157	1770.8842465399	302.392842660987	10000	10000	32.9053156234129	18.5672803263131	34.401587380068	62.1081853156674	70.9118156502149	55.9936391494042	Nonresponder
KYSE70	10000	5520.1740415572	1544.97416769897	270.152346185512	10000	840.220626780692	12.077328011444	13.3043017136019	33.8089988891914	78.1059425688613	81.7480386117916	57.0371745664115	Nonresponder
LC1SQ	7518.23400469817	10000	23.2822388316973	9494.24233213913	10000	5958.62882488779	3.64650531992083e-11	0	13.564596046776	53.9329036347857	100	37.0264343062947	Nonresponder
