cell.line	compound	variable	value
HDQ-P1	RBN011364-002	LowerLimit	92.7036974107263
U-87 MG	RBN010061-002	LowerLimit	46.8487181494425
U-87 MG	RBN011364-002	LowerLimit	51.592216016731
DBTRG-05MG	RBN010061-002	LowerLimit	86.4224625267766
DBTRG-05MG	RBN011364-002	LowerLimit	31.9058485467583
HCC-15	RBN010061-002	LowerLimit	34.1986811309494
HCC-15	RBN011364-002	LowerLimit	-114.872392377454
NCI-H1437	RBN010061-002	LowerLimit	35.6065194201332
NCI-H1437	RBN011364-002	LowerLimit	92.8326351855435
NCI-H647	RBN010061-002	LowerLimit	27.9906196117875
NCI-H647	RBN011364-002	LowerLimit	-21.2584807903723
LOU-NH91	RBN010061-002	LowerLimit	NA
LOU-NH91	RBN011364-002	LowerLimit	47.9934468679328
CAL-27	RBN010061-002	LowerLimit	-7.58853253466756
CAL-27	RBN011364-002	LowerLimit	9.91918393079575
LCLC-97TM1	RBN010061-002	LowerLimit	38.700572801917
LCLC-97TM1	RBN011364-002	LowerLimit	63.0777455914891
GSS	RBN010061-002	LowerLimit	55.1477510149386
GSS	RBN011364-002	LowerLimit	22.6761542263894
HCC1937	RBN010061-002	LowerLimit	77.4436386788638
HCC1937	RBN011364-002	LowerLimit	37.2458146372132
OV56	RBN010061-002	LowerLimit	NA
OV56	RBN011364-002	LowerLimit	74.7639403106089
HSC-4	RBN010061-002	LowerLimit	63.6748470006581
HSC-4	RBN011364-002	LowerLimit	-149.759865423617
CL-11	RBN010061-002	LowerLimit	111.215459270879
CL-11	RBN011364-002	LowerLimit	48.8066599246588
SW480	RBN010061-002	LowerLimit	72.8427072533898
SW480	RBN011364-002	LowerLimit	21.5323946178647
NCI-H2170	RBN010061-002	LowerLimit	-12.3807668636729
NCI-H2170	RBN011364-002	LowerLimit	-381.179057168251
TE-6	RBN010061-002	LowerLimit	41.0519197499761
TE-6	RBN011364-002	LowerLimit	-712.374017293833
HCC95	RBN010061-002	LowerLimit	61.3612002582628
HCC95	RBN011364-002	LowerLimit	39.2531235075369
MDA-MB-175-VII	RBN010061-002	LowerLimit	-25.7663305463293
MDA-MB-175-VII	RBN011364-002	LowerLimit	46.034378408056
NCI-H522	RBN010061-002	LowerLimit	-0.00315379970792038
NCI-H522	RBN011364-002	LowerLimit	-14.5867113843663
HCC2108	RBN010061-002	LowerLimit	-5.84718650946108
HCC2108	RBN011364-002	LowerLimit	63.9318003671166
TE-10	RBN010061-002	LowerLimit	13.8382837947234
TE-10	RBN011364-002	LowerLimit	-76.6645186020273
ZR-75-30	RBN010061-002	LowerLimit	NA
ZR-75-30	RBN011364-002	LowerLimit	105.145792845668
GSU	RBN010061-002	LowerLimit	12.6310966552193
GSU	RBN011364-002	LowerLimit	-35.0146991540926
KYSE-410	RBN010061-002	LowerLimit	-72.0469112068316
KYSE-410	RBN011364-002	LowerLimit	-180.98830364605
KE-39	RBN010061-002	LowerLimit	68.1308220022552
KE-39	RBN011364-002	LowerLimit	93.8073526060064
KNS-62	RBN010061-002	LowerLimit	39.4709427328859
KNS-62	RBN011364-002	LowerLimit	64.6360719957899
KPL-1	RBN010061-002	LowerLimit	14.2102013077785
KPL-1	RBN011364-002	LowerLimit	35.3399140277834
SCC-25	RBN010061-002	LowerLimit	-1.16199902537849
SCC-25	RBN011364-002	LowerLimit	96.8536560781226
NCI-H1869	RBN010061-002	LowerLimit	31.2335835231735
NCI-H1869	RBN011364-002	LowerLimit	52.1054607356231
TE-5	RBN010061-002	LowerLimit	-53.0431878113344
TE-5	RBN011364-002	LowerLimit	13.5771553352506
SNU-719	RBN010061-002	LowerLimit	-378.001969096611
SNU-719	RBN011364-002	LowerLimit	-332.533225049525
NCI-H358	RBN010061-002	LowerLimit	26.9429690740034
NCI-H358	RBN011364-002	LowerLimit	74.2449229503421
TYK-nu	RBN010061-002	LowerLimit	-50.2081285635214
TYK-nu	RBN011364-002	LowerLimit	97.4650038693448
NCI-H1703	RBN010061-002	LowerLimit	-95.1336216862788
NCI-H1703	RBN011364-002	LowerLimit	-7.59969798667091
CAL-33	RBN010061-002	LowerLimit	105.855347074786
CAL-33	RBN011364-002	LowerLimit	113.729219607612
NCI-H1373	RBN010061-002	LowerLimit	-23.978967530056
NCI-H1373	RBN011364-002	LowerLimit	94.1070212513452
TGBC11TKB	RBN010061-002	LowerLimit	107.715848941809
TGBC11TKB	RBN011364-002	LowerLimit	-89.3776224698107
JIMT-1	RBN010061-002	LowerLimit	36.2371410605341
JIMT-1	RBN011364-002	LowerLimit	65.6872547424316
YMB-1	RBN010061-002	LowerLimit	-63.3549346234708
YMB-1	RBN011364-002	LowerLimit	21.2053066151111
KYSE-520	RBN010061-002	LowerLimit	50.0662427268976
KYSE-520	RBN011364-002	LowerLimit	41.9877195991624
KYSE-70	RBN010061-002	LowerLimit	22.7081404600983
KYSE-70	RBN011364-002	LowerLimit	72.0681287797474
LS-123	RBN010061-002	LowerLimit.stderr	10.4808977254942
LS-123	RBN011364-002	LowerLimit.stderr	3.08880858477393
EBC-1	RBN010061-002	LowerLimit.stderr	74.9710641969123
EBC-1	RBN011364-002	LowerLimit.stderr	2.00927936645738
T3M-10	RBN010061-002	LowerLimit.stderr	64.2786937768986
T3M-10	RBN011364-002	LowerLimit.stderr	3.82409299736215
SNU-175	RBN010061-002	LowerLimit.stderr	58.8618147551312
SNU-175	RBN011364-002	LowerLimit.stderr	0.794190585423676
A253	RBN010061-002	LowerLimit.stderr	0.500590907110367
A253	RBN011364-002	LowerLimit.stderr	0.779284818827709
A549	RBN010061-002	LowerLimit.stderr	315.096666971928
A549	RBN011364-002	LowerLimit.stderr	NA
KYSE-270	RBN010061-002	LowerLimit.stderr	4.53433104565492
KYSE-270	RBN011364-002	LowerLimit.stderr	10.3079025924853
KYSE-450	RBN010061-002	LowerLimit.stderr	NA
KYSE-450	RBN011364-002	LowerLimit.stderr	38.8956712791662
IM-95	RBN010061-002	LowerLimit.stderr	78.7651641992604
IM-95	RBN011364-002	LowerLimit.stderr	87.2598648066187
LoVo	RBN010061-002	LowerLimit.stderr	46.5854903893451
LoVo	RBN011364-002	LowerLimit.stderr	21.6023731835401
LCLC-103H	RBN010061-002	LowerLimit.stderr	0.528312983374404
LCLC-103H	RBN011364-002	LowerLimit.stderr	5.64081599637871
KNS-81	RBN010061-002	LowerLimit.stderr	13.9038031665952
KNS-81	RBN011364-002	LowerLimit.stderr	3.51662002481234
MDA-MB-436	RBN010061-002	LowerLimit.stderr	1.6658991487914
MDA-MB-436	RBN011364-002	LowerLimit.stderr	15.05985171806
HCC1195	RBN010061-002	LowerLimit.stderr	77.5066043906749
HCC1195	RBN011364-002	LowerLimit.stderr	25.3441754305827
SNG-M	RBN010061-002	LowerLimit.stderr	9.28508372871479
SNG-M	RBN011364-002	LowerLimit.stderr	12.8094479344143
MDA-MB-231	RBN010061-002	LowerLimit.stderr	0.501370864153027
MDA-MB-231	RBN011364-002	LowerLimit.stderr	11.9978942611956
LK-2	RBN010061-002	LowerLimit.stderr	97.7568292953137
LK-2	RBN011364-002	LowerLimit.stderr	1.79915678963721
HCC2218	RBN010061-002	LowerLimit.stderr	4.29606980235017
HCC2218	RBN011364-002	LowerLimit.stderr	0.500003581848111
LC-1sq	RBN010061-002	LowerLimit.stderr	4.95588172407089
LC-1sq	RBN011364-002	LowerLimit.stderr	6.89589366032204
FaDu	RBN010061-002	LowerLimit.stderr	3.09710997047385
FaDu	RBN011364-002	LowerLimit.stderr	6.35876173348325
NCI-H596	RBN010061-002	LowerLimit.stderr	0.607350106098134
NCI-H596	RBN011364-002	LowerLimit.stderr	14.9241533817356
Caki-1	RBN010061-002	LowerLimit.stderr	83.0395302712608
Caki-1	RBN011364-002	LowerLimit.stderr	0.760327074182917
ACHN	RBN010061-002	LowerLimit.stderr	NA
ACHN	RBN011364-002	LowerLimit.stderr	5.66648586512258
YD-8	RBN010061-002	LowerLimit.stderr	72.7138415397055
YD-8	RBN011364-002	LowerLimit.stderr	36.6167806582311
HCC1588	RBN010061-002	LowerLimit.stderr	0.510231065808544
HCC1588	RBN011364-002	LowerLimit.stderr	28.9379363375232
T47D	RBN010061-002	LowerLimit.stderr	7.64387190690579
T47D	RBN011364-002	LowerLimit.stderr	23.4207395159943
TE-8	RBN010061-002	LowerLimit.stderr	3.52397294491976
TE-8	RBN011364-002	LowerLimit.stderr	2.10110143838731
IA-LM	RBN010061-002	LowerLimit.stderr	37.0539677294715
IA-LM	RBN011364-002	LowerLimit.stderr	11.3060430037585
EN	RBN010061-002	LowerLimit.stderr	5.12440960029032
EN	RBN011364-002	LowerLimit.stderr	7.0192761101634
NCI-H1975	RBN010061-002	LowerLimit.stderr	130.041517867096
NCI-H1975	RBN011364-002	LowerLimit.stderr	5.60605652154196
NCI-H1838	RBN010061-002	LowerLimit.stderr	0.507724840917686
NCI-H1838	RBN011364-002	LowerLimit.stderr	128.264352961826
HCC-44	RBN010061-002	LowerLimit.stderr	0.205034171011829
HCC-44	RBN011364-002	LowerLimit.stderr	10.0215682885435
HCC1187	RBN010061-002	LowerLimit.stderr	1.39193521399305
HCC1187	RBN011364-002	LowerLimit.stderr	0.71847571150975
YH-13	RBN010061-002	LowerLimit.stderr	0.500431809377955
YH-13	RBN011364-002	LowerLimit.stderr	1.26767233782682
HCC38	RBN010061-002	LowerLimit.stderr	23.8802245425244
HCC38	RBN011364-002	LowerLimit.stderr	4.5442318264591
SNU-1033	RBN010061-002	LowerLimit.stderr	0.386898147819931
SNU-1033	RBN011364-002	LowerLimit.stderr	23.7780865373458
Calu-1	RBN010061-002	LowerLimit.stderr	0.502350361469046
Calu-1	RBN011364-002	LowerLimit.stderr	1.44548602886413
PE-CA-PJ15	RBN010061-002	LowerLimit.stderr	0.500184026308875
PE-CA-PJ15	RBN011364-002	LowerLimit.stderr	1.94188370896178
BHY	RBN010061-002	LowerLimit.stderr	19.2133938506703
BHY	RBN011364-002	LowerLimit.stderr	1.38705539312053
MDA-MB-468	RBN010061-002	LowerLimit.stderr	4.96979611734764
MDA-MB-468	RBN011364-002	LowerLimit.stderr	7.18197918633417
CCK-81	RBN010061-002	LowerLimit.stderr	0.508317492177414
CCK-81	RBN011364-002	LowerLimit.stderr	3.21359916279311
HCC2279	RBN010061-002	LowerLimit.stderr	2.53205111595479
HCC2279	RBN011364-002	LowerLimit.stderr	0.761802012117502
HCC1599	RBN010061-002	LowerLimit.stderr	0.408739005593611
HCC1599	RBN011364-002	LowerLimit.stderr	1.90078643451476
COLO-680N	RBN010061-002	LowerLimit.stderr	113.856305045762
COLO-680N	RBN011364-002	LowerLimit.stderr	4.78660819476784
SK-BR-3	RBN010061-002	LowerLimit.stderr	1.04706729728838
SK-BR-3	RBN011364-002	LowerLimit.stderr	0.428334243189053
NCI-H810	RBN010061-002	LowerLimit.stderr	1.95983736011277
NCI-H810	RBN011364-002	LowerLimit.stderr	75.4148417829005
Hs-578-T	RBN010061-002	LowerLimit.stderr	0.709426002898803
Hs-578-T	RBN011364-002	LowerLimit.stderr	2.78145188581752
KURAMOCHI	RBN010061-002	LowerLimit.stderr	3.3971315977275
KURAMOCHI	RBN011364-002	LowerLimit.stderr	19.4561905122336
SNU-81	RBN010061-002	LowerLimit.stderr	5.03712813158935
SNU-81	RBN011364-002	LowerLimit.stderr	5.44690429682732
SNU-C4	RBN010061-002	LowerLimit.stderr	5.87377804812354
SNU-C4	RBN011364-002	LowerLimit.stderr	58.1494749381664
Detroit562	RBN010061-002	LowerLimit.stderr	37.9838663016592
Detroit562	RBN011364-002	LowerLimit.stderr	123.574404444943
NUGC-4	RBN010061-002	LowerLimit.stderr	29.2816577982098
NUGC-4	RBN011364-002	LowerLimit.stderr	1.64809846001651
KYSE-30	RBN010061-002	LowerLimit.stderr	0.500427111105866
KYSE-30	RBN011364-002	LowerLimit.stderr	1.45285114278143
OV7	RBN010061-002	LowerLimit.stderr	2.84236611660138
OV7	RBN011364-002	LowerLimit.stderr	0.858080094810663
RCM-1	RBN010061-002	LowerLimit.stderr	39.8314859954112
RCM-1	RBN011364-002	LowerLimit.stderr	2.36251028046241
HT-29	RBN010061-002	LowerLimit.stderr	144.068939173475
HT-29	RBN011364-002	LowerLimit.stderr	2.41169124412107
SW48	RBN010061-002	LowerLimit.stderr	0.500548420591366
SW48	RBN011364-002	LowerLimit.stderr	123.368872761323
JHOS-2	RBN010061-002	LowerLimit.stderr	3.66512938308013
JHOS-2	RBN011364-002	LowerLimit.stderr	4.03936079417922
OVCAR-8	RBN010061-002	LowerLimit.stderr	3.59695992319463
OVCAR-8	RBN011364-002	LowerLimit.stderr	0.584467138426291
OVISE	RBN010061-002	LowerLimit.stderr	6.29531749259554
OVISE	RBN011364-002	LowerLimit.stderr	2.39287905821896
JHOS-4	RBN010061-002	LowerLimit.stderr	2.66354434208115
JHOS-4	RBN011364-002	LowerLimit.stderr	1.28471748990332
HARA	RBN010061-002	LowerLimit.stderr	18.1866801423969
HARA	RBN011364-002	LowerLimit.stderr	37.2003867839361
SW620	RBN010061-002	LowerLimit.stderr	28.8511039049831
SW620	RBN011364-002	LowerLimit.stderr	8.77632223644073
RKN	RBN010061-002	LowerLimit.stderr	34.0916476121085
RKN	RBN011364-002	LowerLimit.stderr	28.1419760122728
SH-10-TC	RBN010061-002	LowerLimit.stderr	34.115727069316
SH-10-TC	RBN011364-002	LowerLimit.stderr	35.9894881920798
TOV-21G	RBN010061-002	LowerLimit.stderr	21.1269082170272
TOV-21G	RBN011364-002	LowerLimit.stderr	77.6833007087946
YD-10B	RBN010061-002	LowerLimit.stderr	0.561803373882636
YD-10B	RBN011364-002	LowerLimit.stderr	1.00850140314198
LUDLU-1	RBN010061-002	LowerLimit.stderr	62.0263240566517
LUDLU-1	RBN011364-002	LowerLimit.stderr	1.93532848729682
NCI-H2023	RBN010061-002	LowerLimit.stderr	33.256454763937
NCI-H2023	RBN011364-002	LowerLimit.stderr	26.1040727575598
HCC70	RBN010061-002	LowerLimit.stderr	1.30524748030361
HCC70	RBN011364-002	LowerLimit.stderr	4.70105060012114
SW900	RBN010061-002	LowerLimit.stderr	0.76435261424779
SW900	RBN011364-002	LowerLimit.stderr	3.06132367533462
RERF-LC-AI	RBN010061-002	LowerLimit.stderr	29.6991097498883
RERF-LC-AI	RBN011364-002	LowerLimit.stderr	4.60757753143403
HCC1143	RBN010061-002	LowerLimit.stderr	7.30015258858953
HCC1143	RBN011364-002	LowerLimit.stderr	34.2823513706497
NCI-H520	RBN010061-002	LowerLimit.stderr	4.39221309201358
NCI-H520	RBN011364-002	LowerLimit.stderr	NA
YD-38	RBN010061-002	LowerLimit.stderr	48.2279103094252
YD-38	RBN011364-002	LowerLimit.stderr	1.26990705084349
SK-OV-3	RBN010061-002	LowerLimit.stderr	0.58326437703658
SK-OV-3	RBN011364-002	LowerLimit.stderr	35.9605354424974
SNU-620	RBN010061-002	LowerLimit.stderr	0.71032515751073
SNU-620	RBN011364-002	LowerLimit.stderr	250.655991273364
EFE-184	RBN010061-002	LowerLimit.stderr	10.3754854145445
EFE-184	RBN011364-002	LowerLimit.stderr	2.53068896970537
EFO-27	RBN010061-002	LowerLimit.stderr	NA
EFO-27	RBN011364-002	LowerLimit.stderr	19.3278201019862
EVSA-T	RBN010061-002	LowerLimit.stderr	1.33553573775697
EVSA-T	RBN011364-002	LowerLimit.stderr	5.89234056651664
HCT-116	RBN010061-002	LowerLimit.stderr	5.78947703775054
HCT-116	RBN011364-002	LowerLimit.stderr	0.706603274068041
HEC-1-B	RBN010061-002	LowerLimit.stderr	29.1921728375827
HEC-1-B	RBN011364-002	LowerLimit.stderr	2.90492213235344
LXF-289	RBN010061-002	LowerLimit.stderr	NA
LXF-289	RBN011364-002	LowerLimit.stderr	2.88698691965592
HDQ-P1	RBN010061-002	LowerLimit.stderr	0.707117329019627
HDQ-P1	RBN011364-002	LowerLimit.stderr	2.75275253699845
U-87 MG	RBN010061-002	LowerLimit.stderr	0.500000891502057
U-87 MG	RBN011364-002	LowerLimit.stderr	3.753684489946
DBTRG-05MG	RBN010061-002	LowerLimit.stderr	2.21917241796744
DBTRG-05MG	RBN011364-002	LowerLimit.stderr	44.4609779172382
HCC-15	RBN010061-002	LowerLimit.stderr	86.6879908238229
HCC-15	RBN011364-002	LowerLimit.stderr	172.357911414327
NCI-H1437	RBN010061-002	LowerLimit.stderr	0.857881573899964
NCI-H1437	RBN011364-002	LowerLimit.stderr	3.09766641710714
NCI-H647	RBN010061-002	LowerLimit.stderr	1432.79895796557
NCI-H647	RBN011364-002	LowerLimit.stderr	6.76599737990217
LOU-NH91	RBN010061-002	LowerLimit.stderr	NA
LOU-NH91	RBN011364-002	LowerLimit.stderr	5.65098754638314
CAL-27	RBN010061-002	LowerLimit.stderr	5.34566409696185
CAL-27	RBN011364-002	LowerLimit.stderr	4.3632602026822
LCLC-97TM1	RBN010061-002	LowerLimit.stderr	71.0420684213168
LCLC-97TM1	RBN011364-002	LowerLimit.stderr	17.1486947574185
GSS	RBN010061-002	LowerLimit.stderr	63.9046271379121
GSS	RBN011364-002	LowerLimit.stderr	15.2465668871019
HCC1937	RBN010061-002	LowerLimit.stderr	0.93301756330987
HCC1937	RBN011364-002	LowerLimit.stderr	3.61990970899572
OV56	RBN010061-002	LowerLimit.stderr	NA
OV56	RBN011364-002	LowerLimit.stderr	0.555043971072107
HSC-4	RBN010061-002	LowerLimit.stderr	41.9789990525851
HSC-4	RBN011364-002	LowerLimit.stderr	22.1358630901252
CL-11	RBN010061-002	LowerLimit.stderr	1.54938530900969
CL-11	RBN011364-002	LowerLimit.stderr	57.0994832567447
SW480	RBN010061-002	LowerLimit.stderr	57.1015677337027
SW480	RBN011364-002	LowerLimit.stderr	125.804851686125
NCI-H2170	RBN010061-002	LowerLimit.stderr	7.09196999059238
NCI-H2170	RBN011364-002	LowerLimit.stderr	22.6931842225499
TE-6	RBN010061-002	LowerLimit.stderr	376.761483930023
TE-6	RBN011364-002	LowerLimit.stderr	9.34097233009167
HCC95	RBN010061-002	LowerLimit.stderr	6039.13433500028
HCC95	RBN011364-002	LowerLimit.stderr	4.77094707905721
MDA-MB-175-VII	RBN010061-002	LowerLimit.stderr	58.4381628735448
MDA-MB-175-VII	RBN011364-002	LowerLimit.stderr	3.72330181158051
NCI-H522	RBN010061-002	LowerLimit.stderr	16.925872364802
NCI-H522	RBN011364-002	LowerLimit.stderr	1.32431314315691
HCC2108	RBN010061-002	LowerLimit.stderr	4.57413671363497
HCC2108	RBN011364-002	LowerLimit.stderr	1.12753632178492
TE-10	RBN010061-002	LowerLimit.stderr	69.6032488923272
TE-10	RBN011364-002	LowerLimit.stderr	36.1035553549053
ZR-75-30	RBN010061-002	LowerLimit.stderr	NA
ZR-75-30	RBN011364-002	LowerLimit.stderr	2.29495640438525
GSU	RBN010061-002	LowerLimit.stderr	17.7332021436993
GSU	RBN011364-002	LowerLimit.stderr	59.1424503511032
KYSE-410	RBN010061-002	LowerLimit.stderr	680.561453704261
KYSE-410	RBN011364-002	LowerLimit.stderr	29.8771520607272
KE-39	RBN010061-002	LowerLimit.stderr	0.750420681568109
KE-39	RBN011364-002	LowerLimit.stderr	3.22119092791313
KNS-62	RBN010061-002	LowerLimit.stderr	18.5707316788413
KNS-62	RBN011364-002	LowerLimit.stderr	3.13402315755971
KPL-1	RBN010061-002	LowerLimit.stderr	3.96715351927565
KPL-1	RBN011364-002	LowerLimit.stderr	4.07787407885485
SCC-25	RBN010061-002	LowerLimit.stderr	21.9505787597675
SCC-25	RBN011364-002	LowerLimit.stderr	1.63385254711754
NCI-H1869	RBN010061-002	LowerLimit.stderr	6.08669523673642
NCI-H1869	RBN011364-002	LowerLimit.stderr	2.55790190840684
TE-5	RBN010061-002	LowerLimit.stderr	90.5626344884149
TE-5	RBN011364-002	LowerLimit.stderr	55.4668718697038
SNU-719	RBN010061-002	LowerLimit.stderr	9.79077859449122
SNU-719	RBN011364-002	LowerLimit.stderr	8.9682742884022
NCI-H358	RBN010061-002	LowerLimit.stderr	0.562627464274654
NCI-H358	RBN011364-002	LowerLimit.stderr	3.34622921664907
TYK-nu	RBN010061-002	LowerLimit.stderr	31.1264986796256
TYK-nu	RBN011364-002	LowerLimit.stderr	1.84557471354772
NCI-H1703	RBN010061-002	LowerLimit.stderr	39.2605265511399
NCI-H1703	RBN011364-002	LowerLimit.stderr	4.09647192777907
CAL-33	RBN010061-002	LowerLimit.stderr	0.291115637626185
CAL-33	RBN011364-002	LowerLimit.stderr	0.982973115184568
NCI-H1373	RBN010061-002	LowerLimit.stderr	23.5495459470735
NCI-H1373	RBN011364-002	LowerLimit.stderr	1.7716571262964
TGBC11TKB	RBN010061-002	LowerLimit.stderr	3.03934322997414
TGBC11TKB	RBN011364-002	LowerLimit.stderr	16.7108302164197
JIMT-1	RBN010061-002	LowerLimit.stderr	11.5930107991768
JIMT-1	RBN011364-002	LowerLimit.stderr	0.460523331915871
YMB-1	RBN010061-002	LowerLimit.stderr	140.370767058185
YMB-1	RBN011364-002	LowerLimit.stderr	44.3507823862167
KYSE-520	RBN010061-002	LowerLimit.stderr	44.1116077424663
KYSE-520	RBN011364-002	LowerLimit.stderr	25.3763704266986
KYSE-70	RBN010061-002	LowerLimit.stderr	119.076474524847
KYSE-70	RBN011364-002	LowerLimit.stderr	0.695082521088144
LS-123	RBN010061-002	LowerLimit.pval	0.00532551621906449
LS-123	RBN011364-002	LowerLimit.pval	2.02638166867916e-32
EBC-1	RBN010061-002	LowerLimit.pval	0.844879399509255
EBC-1	RBN011364-002	LowerLimit.pval	2.66016869627047e-19
T3M-10	RBN010061-002	LowerLimit.pval	0.988754793011592
T3M-10	RBN011364-002	LowerLimit.pval	1.12012015136738e-27
SNU-175	RBN010061-002	LowerLimit.pval	0.564657724945331
SNU-175	RBN011364-002	LowerLimit.pval	6.4798769726592e-56
A253	RBN010061-002	LowerLimit.pval	2.75407668618256e-38
A253	RBN011364-002	LowerLimit.pval	3.72728456956915e-52
A549	RBN010061-002	LowerLimit.pval	0.841394327970654
A549	RBN011364-002	LowerLimit.pval	NA
KYSE-270	RBN010061-002	LowerLimit.pval	0.0146887049830051
KYSE-270	RBN011364-002	LowerLimit.pval	4.32791581425117e-11
KYSE-450	RBN010061-002	LowerLimit.pval	NA
KYSE-450	RBN011364-002	LowerLimit.pval	0.000100643300645305
IM-95	RBN010061-002	LowerLimit.pval	0.66201718244672
IM-95	RBN011364-002	LowerLimit.pval	0.694116014180168
LoVo	RBN010061-002	LowerLimit.pval	0.610567487192106
LoVo	RBN011364-002	LowerLimit.pval	0.000443959304003689
LCLC-103H	RBN010061-002	LowerLimit.pval	1.33567634967939e-75
LCLC-103H	RBN011364-002	LowerLimit.pval	3.04830956344276e-16
KNS-81	RBN010061-002	LowerLimit.pval	0.396937001725021
KNS-81	RBN011364-002	LowerLimit.pval	8.39613025523616e-22
MDA-MB-436	RBN010061-002	LowerLimit.pval	4.16828685502e-51
MDA-MB-436	RBN011364-002	LowerLimit.pval	0.305687453613695
HCC1195	RBN010061-002	LowerLimit.pval	0.499156590507227
HCC1195	RBN011364-002	LowerLimit.pval	0.289087392075207
SNG-M	RBN010061-002	LowerLimit.pval	0.0518067879780667
SNG-M	RBN011364-002	LowerLimit.pval	2.05099727160946e-06
MDA-MB-231	RBN010061-002	LowerLimit.pval	1.25938924097093e-57
MDA-MB-231	RBN011364-002	LowerLimit.pval	0.000155687622854819
LK-2	RBN010061-002	LowerLimit.pval	0.577708090096825
LK-2	RBN011364-002	LowerLimit.pval	2.0384829771187e-36
HCC2218	RBN010061-002	LowerLimit.pval	2.57795698928679e-17
HCC2218	RBN011364-002	LowerLimit.pval	1.15570933287232e-62
LC-1sq	RBN010061-002	LowerLimit.pval	0.236804078581169
LC-1sq	RBN011364-002	LowerLimit.pval	0.000491726962808408
FaDu	RBN010061-002	LowerLimit.pval	0.0558500551101109
FaDu	RBN011364-002	LowerLimit.pval	1.27517593279767e-09
NCI-H596	RBN010061-002	LowerLimit.pval	2.97784288455584e-60
NCI-H596	RBN011364-002	LowerLimit.pval	0.00266419777333627
Caki-1	RBN010061-002	LowerLimit.pval	0.518057565483616
Caki-1	RBN011364-002	LowerLimit.pval	2.72124207282445e-70
ACHN	RBN010061-002	LowerLimit.pval	NA
ACHN	RBN011364-002	LowerLimit.pval	0.00171072526663017
YD-8	RBN010061-002	LowerLimit.pval	0.598760248807109
YD-8	RBN011364-002	LowerLimit.pval	0.836295895607312
HCC1588	RBN010061-002	LowerLimit.pval	0.0104805722686105
HCC1588	RBN011364-002	LowerLimit.pval	1.61615409542851e-09
T47D	RBN010061-002	LowerLimit.pval	0.288916586879284
T47D	RBN011364-002	LowerLimit.pval	0.575431550604566
TE-8	RBN010061-002	LowerLimit.pval	4.21291744185262e-06
TE-8	RBN011364-002	LowerLimit.pval	4.1412729575134e-32
IA-LM	RBN010061-002	LowerLimit.pval	0.0786150227190873
IA-LM	RBN011364-002	LowerLimit.pval	0.0262190672587521
EN	RBN010061-002	LowerLimit.pval	0.798854820323281
EN	RBN011364-002	LowerLimit.pval	1.7907324955823e-53
NCI-H1975	RBN010061-002	LowerLimit.pval	0.832761775233126
NCI-H1975	RBN011364-002	LowerLimit.pval	5.06434335149554e-05
NCI-H1838	RBN010061-002	LowerLimit.pval	1.04122946782576e-07
NCI-H1838	RBN011364-002	LowerLimit.pval	0.812768957580427
HCC-44	RBN010061-002	LowerLimit.pval	1.78732414668378e-72
HCC-44	RBN011364-002	LowerLimit.pval	2.99343405552872e-05
HCC1187	RBN010061-002	LowerLimit.pval	2.10802465367172e-33
HCC1187	RBN011364-002	LowerLimit.pval	6.15568293769527e-39
YH-13	RBN010061-002	LowerLimit.pval	8.86293337275471e-44
YH-13	RBN011364-002	LowerLimit.pval	5.13059655795825e-47
HCC38	RBN010061-002	LowerLimit.pval	0.173351594743118
HCC38	RBN011364-002	LowerLimit.pval	7.9235524762514e-151
SNU-1033	RBN010061-002	LowerLimit.pval	2.24603362992229e-72
SNU-1033	RBN011364-002	LowerLimit.pval	0.71194364285187
Calu-1	RBN010061-002	LowerLimit.pval	2.81671532727812e-68
Calu-1	RBN011364-002	LowerLimit.pval	8.88661757138054e-43
PE-CA-PJ15	RBN010061-002	LowerLimit.pval	2.1500989200755e-66
PE-CA-PJ15	RBN011364-002	LowerLimit.pval	2.28163305131992e-41
BHY	RBN010061-002	LowerLimit.pval	0.0166873656188256
BHY	RBN011364-002	LowerLimit.pval	6.16631704830303e-46
MDA-MB-468	RBN010061-002	LowerLimit.pval	0.0489152554700797
MDA-MB-468	RBN011364-002	LowerLimit.pval	1.85868487696142e-55
CCK-81	RBN010061-002	LowerLimit.pval	7.72921447738291e-63
CCK-81	RBN011364-002	LowerLimit.pval	4.03513075929393e-37
HCC2279	RBN010061-002	LowerLimit.pval	6.92096776595685e-09
HCC2279	RBN011364-002	LowerLimit.pval	1.63234948216476e-13
HCC1599	RBN010061-002	LowerLimit.pval	4.75626221475403e-67
HCC1599	RBN011364-002	LowerLimit.pval	9.63819696645116e-100
COLO-680N	RBN010061-002	LowerLimit.pval	0.786534299129061
COLO-680N	RBN011364-002	LowerLimit.pval	0.00175676235849098
SK-BR-3	RBN010061-002	LowerLimit.pval	5.3704307756647e-43
SK-BR-3	RBN011364-002	LowerLimit.pval	8.58435769323296e-55
NCI-H810	RBN010061-002	LowerLimit.pval	8.6780863755218e-41
NCI-H810	RBN011364-002	LowerLimit.pval	0.418357827396791
Hs-578-T	RBN010061-002	LowerLimit.pval	2.00601865443835e-24
Hs-578-T	RBN011364-002	LowerLimit.pval	2.76151726406035e-19
KURAMOCHI	RBN010061-002	LowerLimit.pval	1.59729146931692e-17
KURAMOCHI	RBN011364-002	LowerLimit.pval	1.3718063255348e-23
