cell.line	compound	variable	value
MDA-MB-436	RBN011364-002	EMax	19.9336254992832
HCC1195	RBN010061-002	EMax	81.2173235982812
HCC1195	RBN011364-002	EMax	-7.34875186331412
SNG-M	RBN010061-002	EMax	56.854713385021
SNG-M	RBN011364-002	EMax	84.7994495509368
MDA-MB-231	RBN010061-002	EMax	37.2216849871184
MDA-MB-231	RBN011364-002	EMax	55.9588317199186
LK-2	RBN010061-002	EMax	4.88514110672711
LK-2	RBN011364-002	EMax	65.1874043682982
HCC2218	RBN010061-002	EMax	52.3440523861166
HCC2218	RBN011364-002	EMax	45.7374176131943
LC-1sq	RBN010061-002	EMax	7.55702769538931
LC-1sq	RBN011364-002	EMax	2.16243759934029
FaDu	RBN010061-002	EMax	-5.96076550436124
FaDu	RBN011364-002	EMax	49.440872466461
NCI-H596	RBN010061-002	EMax	50.9342676335858
NCI-H596	RBN011364-002	EMax	53.1829043919423
Caki-1	RBN010061-002	EMax	57.5110966975086
Caki-1	RBN011364-002	EMax	-16.1060693826944
ACHN	RBN010061-002	EMax	100
ACHN	RBN011364-002	EMax	-14.8384795855883
YD-8	RBN010061-002	EMax	42.1615174414543
YD-8	RBN011364-002	EMax	5.17366909739701
HCC1588	RBN010061-002	EMax	1.60161708320845
HCC1588	RBN011364-002	EMax	3.70966753276059
T47D	RBN010061-002	EMax	10.8697141520095
T47D	RBN011364-002	EMax	21.1382917760449
TE-8	RBN010061-002	EMax	16.5390378990091
TE-8	RBN011364-002	EMax	42.6868130271729
IA-LM	RBN010061-002	EMax	81.125090037124
IA-LM	RBN011364-002	EMax	-7.53099868009025
EN	RBN010061-002	EMax	-1.06213352290398
EN	RBN011364-002	EMax	-4.64989110884611
NCI-H1975	RBN010061-002	EMax	73.4543541361159
NCI-H1975	RBN011364-002	EMax	32.0178609485199
NCI-H1838	RBN010061-002	EMax	3.65439026411974
NCI-H1838	RBN011364-002	EMax	30.5379805891011
HCC-44	RBN010061-002	EMax	114.42592898141
HCC-44	RBN011364-002	EMax	58.9111507136439
HCC1187	RBN010061-002	EMax	11.8551544087319
HCC1187	RBN011364-002	EMax	-7.63890479330885
YH-13	RBN010061-002	EMax	20.8151656196647
YH-13	RBN011364-002	EMax	40.6056355636575
HCC38	RBN010061-002	EMax	-10.2669466225364
HCC38	RBN011364-002	EMax	2.83749705181363
SNU-1033	RBN010061-002	EMax	52.9034269691605
SNU-1033	RBN011364-002	EMax	21.5884260106829
Calu-1	RBN010061-002	EMax	57.9670275107847
